ENHETVAKT;"Navn 4. ledd";Beskrivelse
972120;972120;"Fredrikstad Transport Distr."
221729;221729;"DD Sarpsborg D.Enhet"
221706;221706;"DD Moss D.Enhet 2"
221708;221708;"DD Fredrikstad D.Enhet 2"
221709;221709;"DD Halden D.Enhet"
221713;221713;"DD Moss D.Enhet 1"
221720;221720;"DD Sarpsborg D.Enhet 2"
221721;221721;"DD Mysen D.Enhet"
221724;221724;"DD Askim D.Enhet"
992015;992015;"Fredrikstad Transport Linje"
971050;971050;"Fredrikstad Transport Varebil"
214708;214708;"DD Gjøvik D.Enhet 2"
210710;210710;"DD Elverum D.Enhet"
210714;210714;"DD Ringsaker D.Enhet"
214701;214701;"DD Lillehammer D.Enhet 1"
214712;214712;"DD Land og Valdres D.Enhet"
210722;210722;"DD Moelv D.Enhet"
214715;214715;"DD Gjøvik D.Enhet 3"
214761;214761;"DD Lom D.Punkt"
210727;210727;"DD Nord-Østerdal D.Enhet"
210729;210729;"DD Rena D.Punkt"
214705;214705;"DD Vinstra D.Enhet"
210724;210724;"DD Hamar D.Enhet 3"
214713;214713;"DD Dokka D.Enhet"
210728;210728;"DD Solør D.Punkt"
972220;972220;"Hamar Transport 1"
214702;214702;"DD Lillehammer D.Enhet 2"
214703;214703;"DD Lillehammer D.Enhet 3"
214760;214760;"DD Ringebu D.Punkt"
214707;214707;"DD Gjøvik D.Enhet 1"
214704;214704;"DD Otta D.Enhet"
210726;210726;"DD Trysil D.Enhet"
210762;210762;"DD Koppang D.Punkt"
214515;214515;"DD Dombås D.Punkt"
972221;972221;"Hamar Bedriftspakker"
101933;101933;"Hamar Transport Gods"
181791;181791;"Oslo Transport Varebil 1"
971110;971110;"Oslo Transport Lastebil 1"
971130;971130;"Oslo Transport Lastebil 3"
971140;971140;"Oslo Transport Lastebil 4"
971150;971150;"Oslo Transport Lastebil 5"
971180;971180;"Oslo Transport Lastebil 8"
181759;181759;"DD Eidsvoll D.Enhet"
181764;181764;"DD Nannestad D.Enhet"
181766;181766;"DD Årnes D.Enhet"
181769;181769;"DD Bjørkelangen D.Enhet"
214710;214710;"DD Gran D.Enhet"
181701;181701;"DD Skullerud D.Enhet"
181702;181702;"DD Lambertseter D.Enhet 2"
181707;181707;"DD Holmlia - Oppsal D.Enhet"
181712;181712;"DD Kolbotn D.Enhet"
181738;181738;"DD Follo D.Enhet"
181739;181739;"DD Follo D.Enhet 2"
181742;181742;"DD Follo D.Enhet 3"
181745;181745;"DD Nesodden D.Enhet"
180762;180762;"DD Bærum D.Enhet"
180763;180763;"DD Bærum D.Enhet 2"
180764;180764;"DD Bærum D.Enhet 3"
180765;180765;"DD Bærum D.Enhet 4"
180734;180734;"DD Røa D.Enhet 1"
180731;180731;"DD Røa D.Enhet 2"
180772;180772;"DD Asker D.Enhet"
180773;180773;"DD Asker D.Enhet 2"
180774;180774;"DD Asker D.Enhet 2"
181731;181731;"DD Øvre Groruddalen D.Enhet"
181733;181733;"DD Øvre Groruddalen D.Satellitt"
180717;180717;"DD Skøyen D.Enhet 1"
180719;180719;"DD Skøyen D.Enhet 2"
180726;180726;"DD Majorstuen D.Enhet 1"
180728;180728;"DD Majorstuen D.Enhet 2"
180730;180730;"DD Røa D.Enhet"
180740;180740;"DD Torshov D.Enhet"
180742;180742;"DD Torshov D.Enhet 2"
180746;180746;"DD Torshov-Tåsen D.Enhet"
180707;180707;"DD Oslo Sentrum D.Enhet"
180708;180708;"DD ØT D.Enhet 12"
181719;181719;"DD Helsfyr D.Enhet"
181720;181720;"DD Vollebekk D.Enhet"
181721;181721;"DD Oppsal D.Enhet"
971170;971170;"PTT Enhet Oslo 7"
180754;180754;"DD Vollebekk D.Enhet 3"
181762;181762;"DD Jessheim D.Enhet"
971160;971160;"OP Oslo og Akershus Lastebil 5"
181770;181770;"DD ØT D.Enhet 19"
992011;992011;"LSO Lastebil Kipp"
992012;992012;"Oslo Transport Lastebil Linje"
971200;971200;"Oslo Transport Varebil 6"
181796;181796;"Oslo Transport Varebil 5"
181794;181794;"Oslo Transport Varebil 4"
181793;181793;"Oslo Transport Varebil 3"
181792;181792;"Oslo Transport Varebil 2"
210716;210716;"DD Kongsvinger D.Enhet 1"
210717;210717;"DD Kongsvinger D.Enhet 2"
210725;210725;"DD Skarnes D.Punkt"
101270;101270;"Oslo Lastebil avd.Kongsv. Trsp."
971120;971120;"Oslo Transport Lastebil 2"
221732;221732;"DD Rakkestad D.Punkt"
972320;972320;"Drammen Transport 1"
301701;301701;"DD Drammen D.Enhet 1"
301703;301703;"DD Drammen Vest D.Enhet"
301704;301704;"DD Konnerud D.Punkt"
301707;301707;"DD Modum/Øvre Eiker D.Enhet"
301708;301708;"DD Vikersund D.Enhet"
301709;301709;"DD Drammen Øst D.Enhet"
301711;301711;"DD Røyken og Hurum D.Enhet"
301713;301713;"DD Kongsberg og Numedal D.Enhet"
301715;301715;"DD Ringerike D.Enhet"
301716;301716;"DD Jevnaker D.Enhet"
301762;301762;"DD Hallingdal D.Enhet"
318701;318701;"DD Notodden/Tinn D.Enhet"
321717;321717;"DD Holmestrand D.Enhet"
301763;301763;"DD Geilo D.Punkt"
301718;301718;"DD Jevnaker D.Punkt"
301766;301766;"DD Rjukan D.Enhet"
301764;301764;"DD Veggli D.Punkt"
101212;101212;"Drammen Bedriftspakker"
102688;102688;"Drammen Transport 3"
101394;101394;"Drammen Transport 2"
318761;318761;"DD Vest-Telemark D.Enhet"
318713;318713;"DD Kragerø D.Punkt"
318716;318716;"DD Bø i Telemark D.Enhet"
318715;318715;"DD Stathelle og Kragerø D.Enhet"
318710;318710;"DD Grenland D.Enhet 2"
318708;318708;"DD Grenland D.Enhet 1"
318704;318704;"Skien Bedriftspakker"
321702;321702;"DD Tønsberg Sentrum D. Punkt"
321712;321712;"DD Larvik D.Enhet 3"
321715;321715;"DD Horten D.Enhet 2"
321703;321703;"DD Nøtterøy D.Enhet"
321704;321704;"DD Sem D.Punkt"
992014;992014;"Stokke Transport (HPG)"
972440;972440;"Stokke Bedriftspakker"
318706;318706;"DD Grenland D.Enhet 2"
972400;972400;"Stokke Transport 3"
101213;101213;"Stokke Transport 4"
972450;972450;"Skien Transport"
321710;321710;"DD Larvik D.Enhet 1"
413709;413709;"DD Sandnes D.Enhet"
973224;973224;"Stavanger Lastebil"
973225;973225;"Stavanger Lastebil 1"
973210;973210;"Stavanger Kjøpt Transport"
413701;413701;"DD Egersund D.Enhet"
504707;504707;"DD Ølen D.Enhet"
413725;413725;"DD Ryfylke D.Enhet"
413720;413720;"DD Stavanger D.Enhet"
413717;413717;"DD Forus D.Enhet 4"
413714;413714;"DD Forus D.Enhet 2"
413721;413721;"DD Randaberg D.Punkt"
413718;413718;"Stavanger Bedriftspakker 1"
973227;973227;"Stavanger Bedriftspakker"
407714;407714;"DD Kvinesdal D.Punkt"
407712;407712;"DD Flekkefjord D.Enhet"
101650;101650;"Haugesund Bedriftspakker"
504709;504709;"DD Sunnhordland D.Enhet"
504704;504704;"DD Haugesund D.Enhet 3"
504705;504705;"DD Kvinnherad D.Enhet"
504706;504706;"DD Bremnes D.Punkt"
101738;101738;"Haugesund Lastebil"
413704;413704;"DD Jæren D.Enhet"
973322;973322;"Bergen Pakker Lastebil 2"
501740;501740;"Bergen Pakker Bedriftspakker 1"
501721;501721;"DD Fana D.Enhet 2"
501722;501722;"DD Fana D.Enhet 3"
501728;501728;"DD Norheimsund D.Enhet"
501715;501715;"DD Sotra D.Enhet"
501707;501707;"DD Åsane D.Enhet"
501725;501725;"DD Voss D.Enhet"
503704;503704;"DD Førde D.Enhet"
503702;503702;"DD Florø D.Enhet"
503713;503713;"DD Indre Sogn D.Enhet"
503709;503709;"DD Sandane D.Enhet"
501763;501763;"DD Arna D.Enhet"
503711;503711;"DD Sogndal D.Enhet"
503762;503762;"DD Dale i Sunnfjord D.Enhet"
501735;501735;"DD Fana D.Enhet 1"
504701;504701;"DD Hardanger D.Enhet"
501731;501731;"DD Nordhordland D.Enhet"
501705;501705;"DD Bergen Sandviken D.Enhet"
973321;973321;"Bergen Pakker Lastebil 1"
501724;501724;"DD Os D.Enhet"
503705;503705;"DD Førde D.Enhet 2"
