searchName;relationNumber;nameLine1;nameLine2;nameLine3;addressLine1;addressLine2;addressLine3;postalCode;city;countryCode;subentityCode;postOfficeBox;postOfficeBoxPostalcode;postOfficeBoxCity;postOfficeBoxCountry;telephoneNumber;telefaxNumber;emailAddress;internetAddress;contactPerson;typeOfRelation;currencyCode;vatCode;languageCode;relationGroup;paymentTerm;creditLimit;vatNumberOrg;vatNumber
NOAUXIOSASSLEPE0001;10034871227;Auxios As;-;;Postboks 24  ;;;1312;Slependen;NO;;;;;;;;;;;1;;0;;1;;;917862885;NO917862885
NOAMFIDRIFTSURNA0001;10034880061;Amfi Drift AS;-;;Øravegen 4 ;;;6650;Surnadal;NO;;;;;;;;;;;1;;0;;1;;;875840002;NO875840002
NOAKASIAEIEBERGE0001;10034892942;Akasia Eiendomsforvaltning As;-;;Postboks 4 Ytre Laksevåg  ;;;5848;Bergen;NO;;;;;;;;;;;1;;0;;1;;;816204372;NO816204372
NOAKASIAKIRBERGE0001;10034893254;Akasia Kirke Og Gravplass As;-;;Postboks 4 Ytre Laksevåg  ;;;5848;Bergen;NO;;;;;;;;;;;1;;0;;1;;;916216742;NO916216742
NOADVOKATFIARNES0002;10034911346;Advokatfirmaet Midling-Hansen;-;;Postboks 266  ;;;2151;Årnes;NO;;;;;;;;;;;1;;0;;1;;;919149523;NO919149523
NOADVOKATFIBERGE0018;10034984129;Advokatfirmaet Magnus Legal As;Avd Oslo;;Postboks 904 Sentrum  ;;;5808;Bergen;NO;;;;;;;;;;;1;;0;;1;;;988513636;NO988513636
NOAGDERENERKRIST0004;10034985191;Agder Energi Kraftforvaltning As;-;;Postboks 603 Lundsiden  ;;;4606;Kristiansand S;NO;;;;;;;;;;;1;;0;;1;;;998340403;NO998340403
NOASFALTUTSKONGS0001;10034995604;Asfaltutstyr As;-;;Gaukåsvegen 9 ;;;2211;Kongsvinger;NO;;;;;;;;;;;1;;0;;1;;;819145792;NO819145792
NOAPEXAUTOAARLAN0001;10035023794;Apex Auto As;-;;Haukanesvegen 91 ;;;5652;Årland;NO;;;;;;;;;;;1;;0;;1;;;919062150;NO919062150
NOASKOYRENHFOLLE0001;10035084937;Askøy Renhold As;-;;Postboks 5  ;;;5325;Follese;NO;;;;;;;;;;;1;;0;;1;;;917040036;NO917040036
NOBANDAKNCTKONGS0001;10035129930;Bandak Nct AS;-;;Postboks 3 ;;;3602;KONGSBERG;NO;;;;;;;;;;;1;;0;;1;;;919031808;NO919031808
NOADVANTECASTORD0001;10035145209;Advantec As;Avd Ågotnes;;Eldøyane 175 ;;;5411;STORD;NO;;;;;;;;;;;1;;0;;1;;;887471282;NO887471282
NOALTITECASGAMLE0001;10035156529;Altitec As;-;;Torsnesveien 173 ;;;1634;Gamle Fredrikstad;NO;;;;;;;;;;;1;;0;;1;;;916602987;NO916602987
NO07MEDIAASOSLO0002;10035234573;07 Media As;Avd Aurskog;;Postboks 144 Torshov;;;0412;OSLO;NO;;;;;;;;;;;1;;0;;1;;;919996013;NO919996013
NOAKTIVSTASNARBO0001;10035243756;Aktiv Stasjonsdrift As;-;;Risavegen 96 ;;;4365;Nærbø;NO;;;;;;;;;;;1;;0;;1;;;917626979;NO917626979
NOAMUNDHALSALESU0001;10035257681;Amund Halsebakke;-;;Brunholmgata 12 ;;;6004;Ålesund;NO;;;;;;;;;;;1;;0;;1;;;914979609;NO914979609
NOATEKKTAKOOSLO0001;10035263499;Atekk Tak Og Byggservice As;-;;Postboks 20 Høybråten  ;;;1005;Oslo;NO;;;;;;;;;;;1;;0;;1;;;913523563;NO913523563
NOALNORDSKORYGGE0001;10035329258;Al Nordskogen Borettslag;-;;Postboks 75;;;1581;RYGGE;NO;;;;;;;;;;;1;;0;;1;;;948588579;NO948588579
NOANITABERGBERGE0001;10035359727;Anita Berg;-;;Postboks 186 Loddefjord  ;;;5881;Bergen;NO;;;;;;;;;;;1;;0;;1;;;917515077;NO917515077
NOADVOKATFIOSLO0087;10035381416;Advokatfirmaet Hammervoll Pind As;-;;Postboks 6613 St.Olavs Plass  ;;;0129;Oslo;NO;;;;;;;;;;;1;;0;;1;;;918930477;NO918930477
NOACTICNORGBERGE0001;10035390805;Actic Norge As;-;;Torggaten 7 ;;;5014;Bergen;NO;;;;;;;;;;;1;;0;;1;;;879438462;NO879438462
